Date, avg_price_gas_gallon 
5/1/2023, $3.67 
4/1/2023, $3.71 
3/1/2023, $3.54 
2/1/2023, $3.50 
1/1/2023, $3.45 
12/1/2022, $3.32 
11/1/2022, $3.80 
10/1/2022, $3.94 
9/1/2022, $3.82 
8/1/2022, $4.09 
7/1/2022, $4.67 
6/1/2022, $5.03 
5/1/2022, $4.55 
4/1/2022, $4.21 
3/1/2022, $4.32 
2/1/2022, $3.61 
1/1/2022, $3.41 
12/1/2021, $3.41 
11/1/2021, $3.49 
10/1/2021, $3.38 
9/1/2021, $3.27 
8/1/2021, $3.26 
7/1/2021, $3.23 
6/1/2021, $3.16 
5/1/2021, $3.08 
4/1/2021, $2.95 
3/1/2021, $2.90 
2/1/2021, $2.59 
1/1/2021, $2.42 
12/1/2020, $2.28 
11/1/2020, $2.20 
10/1/2020, $2.25 
9/1/2020, $2.27 
8/1/2020, $2.27 
7/1/2020, $2.27 
6/1/2020, $2.17 
5/1/2020, $1.96 
4/1/2020, $1.94 
3/1/2020, $2.33 
2/1/2020, $2.53 
1/1/2020, $2.64 
12/1/2019, $2.65 
11/1/2019, $2.69 
10/1/2019, $2.72 
9/1/2019, $2.68 
8/1/2019, $2.71 
7/1/2019, $2.82 
6/1/2019, $2.80 
5/1/2019, $2.95 
4/1/2019, $2.88 
3/1/2019, $2.59 
2/1/2019, $2.39 
1/1/2019, $2.34 
12/1/2018, $2.46 
11/1/2018, $2.74 
10/1/2018, $2.94 
9/1/2018, $2.92 
8/1/2018, $2.91 
7/1/2018, $2.93 
6/1/2018, $2.97 
5/1/2018, $2.99 
4/1/2018, $2.87 
3/1/2018, $2.71 
2/1/2018, $2.71 
1/1/2018, $2.67 
12/1/2017, $2.59 
11/1/2017, $2.68 
10/1/2017, $2.62 
9/1/2017, $2.76 
8/1/2017, $2.49 
7/1/2017, $2.41 
6/1/2017, $2.46 
5/1/2017, $2.50 
4/1/2017, $2.53 
3/1/2017, $2.44 
2/1/2017, $2.42 
1/1/2017, $2.46 
12/1/2016, $2.37 
11/1/2016, $2.30 
10/1/2016, $2.36 
9/1/2016, $2.33 
8/1/2016, $2.28 
7/1/2016, $2.35 
6/1/2016, $2.47 
5/1/2016, $2.37 
4/1/2016, $2.22 
3/1/2016, $2.07 
2/1/2016, $1.87 
1/1/2016, $2.06 
12/1/2015, $2.14 
11/1/2015, $2.26 
10/1/2015, $2.39 
9/1/2015, $2.46 
8/1/2015, $2.73 
7/1/2015, $2.88 
6/1/2015, $2.89 
5/1/2015, $2.80 
4/1/2015, $2.56 
3/1/2015, $2.55 
2/1/2015, $2.30 
1/1/2015, $2.21 
12/1/2014, $2.63 
11/1/2014, $3.00 
10/1/2014, $3.26 
9/1/2014, $3.48 
8/1/2014, $3.57 
7/1/2014, $3.69 
6/1/2014, $3.77 
5/1/2014, $3.75 
4/1/2014, $3.74 
3/1/2014, $3.61 
2/1/2014, $3.43 
1/1/2014, $3.39 
12/1/2013, $3.36 
11/1/2013, $3.32 
10/1/2013, $3.42 
9/1/2013, $3.60 
8/1/2013, $3.65 
7/1/2013, $3.66 
6/1/2013, $3.69 
5/1/2013, $3.68 
4/1/2013, $3.64 
3/1/2013, $3.78 
2/1/2013, $3.74 
1/1/2013, $3.39 
12/1/2012, $3.38 
11/1/2012, $3.52 
10/1/2012, $3.81 
9/1/2012, $3.91 
8/1/2012, $3.78 
7/1/2012, $3.50 
6/1/2012, $3.60 
5/1/2012, $3.79 
4/1/2012, $3.96 
3/1/2012, $3.91 
2/1/2012, $3.64 
1/1/2012, $3.44 
12/1/2011, $3.33 
11/1/2011, $3.44 
10/1/2011, $3.51 
9/1/2011, $3.67 
8/1/2011, $3.70 
7/1/2011, $3.71 
6/1/2011, $3.74 
5/1/2011, $3.96 
4/1/2011, $3.85 
3/1/2011, $3.62 
2/1/2011, $3.26 
1/1/2011, $3.15 
12/1/2010, $3.05 
11/1/2010, $2.91 
10/1/2010, $2.85 
9/1/2010, $2.76 
8/1/2010, $2.78 
7/1/2010, $2.78 
6/1/2010, $2.79 
5/1/2010, $2.89 
4/1/2010, $2.90 
3/1/2010, $2.82 
2/1/2010, $2.70 
1/1/2010, $2.77 
12/1/2009, $2.66 
11/1/2009, $2.71 
10/1/2009, $2.61 
9/1/2009, $2.61 
8/1/2009, $2.67 
7/1/2009, $2.58 
6/1/2009, $2.68 
5/1/2009, $2.32 
4/1/2009, $2.10 
3/1/2009, $2.01 
2/1/2009, $1.98 
1/1/2009, $1.84 
12/1/2008, $1.75 
11/1/2008, $2.21 
10/1/2008, $3.11 
9/1/2008, $3.76 
8/1/2008, $3.83 
7/1/2008, $4.11 
6/1/2008, $4.11 
5/1/2008, $3.82 
4/1/2008, $3.51 
3/1/2008, $3.29 
2/1/2008, $3.08 
1/1/2008, $3.10 
12/1/2007, $3.07 
11/1/2007, $3.13 
10/1/2007, $2.85 
9/1/2007, $2.85 
8/1/2007, $2.83 
7/1/2007, $3.01 
6/1/2007, $3.10 
5/1/2007, $3.19 
4/1/2007, $2.89 
3/1/2007, $2.61 
2/1/2007, $2.32 
1/1/2007, $2.29 
12/1/2006, $2.36 
11/1/2006, $2.28 
10/1/2006, $2.29 
9/1/2006, $2.61 
8/1/2006, $3.00 
7/1/2006, $3.03 
6/1/2006, $2.93 
5/1/2006, $2.95 
4/1/2006, $2.79 
3/1/2006, $2.47 
2/1/2006, $2.33 
1/1/2006, $2.36 
12/1/2005, $2.23 
11/1/2005, $2.30 
10/1/2005, $2.77 
9/1/2005, $2.95 
8/1/2005, $2.53 
7/1/2005, $2.33 
6/1/2005, $2.20 
5/1/2005, $2.21 
4/1/2005, $2.29 
3/1/2005, $2.12 
2/1/2005, $1.95 
1/1/2005, $1.88 
12/1/2004, $1.89 
11/1/2004, $2.02 
10/1/2004, $2.04 
9/1/2004, $1.91 
8/1/2004, $1.92 
7/1/2004, $1.95 
6/1/2004, $2.01 
5/1/2004, $2.02 
4/1/2004, $1.84 
3/1/2004, $1.78 
2/1/2004, $1.69 
1/1/2004, $1.61 
12/1/2003, $1.52 
11/1/2003, $1.56 
10/1/2003, $1.61 
9/1/2003, $1.72 
8/1/2003, $1.66 
7/1/2003, $1.55 
6/1/2003, $1.53 
5/1/2003, $1.54 
4/1/2003, $1.63 
3/1/2003, $1.73 
2/1/2003, $1.66 
1/1/2003, $1.50 
12/1/2002, $1.43 
11/1/2002, $1.46 
10/1/2002, $1.49 
9/1/2002, $1.44 
8/1/2002, $1.44 
7/1/2002, $1.44 
6/1/2002, $1.42 
5/1/2002, $1.43 
4/1/2002, $1.44 
3/1/2002, $1.29 
2/1/2002, $1.16 
1/1/2002, $1.15 
12/1/2001, $1.13 
11/1/2001, $1.21 
10/1/2001, $1.36 
9/1/2001, $1.56 
8/1/2001, $1.46 
7/1/2001, $1.47 
6/1/2001, $1.66 
5/1/2001, $1.74 
4/1/2001, $1.59 
3/1/2001, $1.45 
2/1/2001, $1.49 
1/1/2001, $1.49 
12/1/2000, $1.48 
11/1/2000, $1.56 
10/1/2000, $1.57 
9/1/2000, $1.59 
8/1/2000, $1.51 
7/1/2000, $1.59 
6/1/2000, $1.67 
5/1/2000, $1.53 
4/1/2000, $1.51 
3/1/2000, $1.56 
2/1/2000, $1.42 
1/1/2000, $1.33 
12/1/1999, $1.31 
11/1/1999, $1.29 
10/1/1999, $1.29 
9/1/1999, $1.30 
8/1/1999, $1.26 
7/1/1999, $1.20 
6/1/1999, $1.15 
5/1/1999, $1.17 
4/1/1999, $1.17 
3/1/1999, $1.02 
2/1/1999, $0.96 
1/1/1999, $0.98 
